Rank,Year,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach
1,2024,"Change Healthcare, Inc.",MN,Business Associate,"190,000,000",Hacking/IT Incident
2,2015,Anthem Inc.,IN,Health Plan,"78,800,000",Hacking/IT Incident
3,2023,"Welltok, Inc.",CO,Business Associate,"14,782,887",Hacking/IT Incident
4,2024,"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,"13,400,000",Unauthorized Access/Disclosure
5,2019,"Optum360, LLC",MN,Business Associate,"11,500,000",Hacking/IT Incident
6,2023,HCA Healthcare,TN,Business Associate,"11,270,000",Hacking/IT Incident
7,2015,Premera Blue Cross,WA,Health Plan,"11,000,000",Hacking/IT Incident
8,2019,Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,"10,251,784",Hacking/IT Incident
9,2015,"Excellus Health Plan, Inc.",NY,Health Plan,"9,358,891",Hacking/IT Incident
10,2023,"Perry Johnson & Associates, Inc. dba PJ&A",NV,Business Associate,"9,302,588",Hacking/IT Incident
11,2023,"Maximus, Inc.",VA,Business Associate,"9,179,226",Hacking/IT Incident
12,2023,Managed Care of North America,GA,Business Associate,"8,627,242",Hacking/IT Incident
13,2014,Community Health Systems Professional Services Corporations,TN,Healthcare Provider,"6,121,158",Hacking/IT Incident
14,2023,PharMerica Corporation,KY,Healthcare Provider,"5,815,591",Hacking/IT Incident
15,2024,Ascension Health,MO,Healthcare Provider,"5,599,699",Hacking/IT Incident
16,2011,Science Applications International Corporation (SA,VA,Business Associate,"4,900,000",Loss
17,2023,HealthEC LLC,NJ,Business Associate,"4,656,293",Hacking/IT Incident
18,2015,"University of California, Los Angeles Health",CA,Healthcare Provider,"4,500,000",Hacking/IT Incident
19,2014,Community Health Systems Professional Services Corporation,TN,Business Associate,"4,500,000",Theft
20,2024,"HealthEquity, Inc.",UT,Business Associate,"4,300,000",Hacking/IT Incident
21,2023,"Reventics, LLC",FL,Business Associate,"4,212,823",Hacking/IT Incident
22,2021,"20/20 Eye Care Network, Inc",FL,Business Associate,"4,142,440",Hacking/IT Incident
23,2022,"OneTouchPoint, Inc.",WI,Business Associate,"4,112,892",Hacking/IT Incident
24,2023,Colorado Department of Health Care Policy & Financing,CO,Health Plan,"4,091,794",Hacking/IT Incident
25,2013,"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,Healthcare Provider,"4,029,530",Theft
26,2024,"Concentra Health Services, Inc.",TX,Healthcare Provider,"3,998,163",Hacking/IT Incident
27,2016,Banner Health,AZ,Healthcare Provider,"3,620,000",Hacking/IT Incident
28,2021,Florida Healthy Kids Corporation,FL,Health Plan,"3,500,000",Hacking/IT Incident
29,2015,Medical Informatics Engineering,IN,Business Associate,"3,500,000",Hacking/IT Incident
30,2016,"Newkirk Products, Inc.",NY,Business Associate,"3,466,120",Hacking/IT Incident
31,2023,"Regal Medical Group, Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group",CA,Healthcare Provider,"3,388,856",Hacking/IT Incident
32,2020,Trinity Health,MI,Business Associate,"3,320,726",Hacking/IT Incident
33,2023,CareSource,OH,Business Associate,"3,180,537",Unauthorized Access/Disclosure
34,2023,"Cerebral, Inc",DE,Business Associate,"3,179,835",Unauthorized Access/Disclosure
35,2024,Centers for Medicare & Medicaid Services,MD,Health Plan,"3,112,815",Hacking/IT Incident
36,2023,"NationsBenefits Holdings, LLC",FL,Business Associate,"3,037,303",Hacking/IT Incident
37,2022,Advocate Aurora Health,WI,Healthcare Provider,"3,000,000",Unauthorized Access/Disclosure
38,2019,"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.",VA,Health Plan,"2,964,778",Hacking/IT Incident
